,name,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
44,VID_20190322_083209_145,0.890388,0.912763,0.8797,0.863151,0.867543,0.849453,0.886415,0.823434,0.904312,0.852893,0.9851500000000001,0.835967,0.836843,0.9438909999999999,0.823865,0.8341700000000001,0.906871,0.617319,0.809622,0.737139,0.742965,0.708658,0.7982549999999999,0.800889,0.740555
45,VID_20191116_190331_55,0.9105800000000001,0.973613,0.932951,0.880865,0.818467,0.925284,0.854506,0.8479939999999999,0.8991709999999999,0.936005,0.877475,0.861929,0.9642600000000001,0.805645,0.8219679999999999,0.7578619999999999,0.944187,0.0685926,0.9041349999999999,0.612193,0.655118,0.6621549999999999,0.730135,0.805276,0.7521909999999999
46,VID_20191116_190331_56,0.892909,0.9188879999999999,0.913639,0.8904000000000001,0.888316,0.8811300000000001,0.855891,0.8829389999999999,0.9150849999999999,0.8420479999999999,0.890799,0.8864759999999999,0.8702709999999999,0.783825,0.748451,0.856788,0.9493959999999999,0.155391,0.9137400000000001,0.6308549999999999,0.674375,0.61631,0.787574,0.7549969999999999,0.7866949999999999
47,VID_20191116_190331_57,0.880633,0.941163,0.877612,0.840951,0.8387129999999999,0.939295,0.8194089999999999,0.906577,0.834839,0.9360109999999999,0.889137,0.910539,0.8921749999999999,0.800483,0.568325,0.7777569999999999,0.909314,0.059542199999999997,0.9527439999999999,0.48051099999999997,0.570736,0.46509399999999995,0.7691239999999999,0.7735369999999999,0.755877
48,VID_20190322_083222_91,0.894003,0.9751909999999999,0.919717,0.934943,0.877585,0.9289189999999999,0.8805419999999999,0.915496,0.9027339999999999,0.850673,0.914825,0.8454729999999999,0.897188,0.804445,0.829912,0.8707779999999999,0.908496,0.6560539999999999,0.766277,0.7249359999999999,0.7104769999999999,0.711363,0.756558,0.769817,0.741865
49,VID_20190322_083222_92,0.9204359999999999,0.9067839999999999,0.928777,0.822808,0.8875419999999999,0.940576,0.895492,0.862636,0.890189,0.892751,0.834716,0.914257,0.9591959999999999,0.8322029999999999,0.855085,0.915489,0.898863,0.64409,0.792014,0.8576809999999999,0.8483069999999999,0.8018639999999999,0.7491169999999999,0.771937,0.8290179999999999
50,VID_20190322_083222_93,0.9328369999999999,0.922979,0.918298,0.862529,0.788821,0.9141509999999999,0.905671,0.8311879999999999,0.884029,0.934317,0.89973,0.8704459999999999,0.954801,0.906048,0.8471500000000001,0.896291,0.8762000000000001,0.5262800000000001,0.7502489999999999,0.790419,0.818186,0.792017,0.698237,0.7127939999999999,0.7833089999999999
52,VID_22121027_010927_580_79,0.8892439999999999,0.895987,0.9328900000000001,0.853127,0.828932,0.9232239999999999,0.8489700000000001,0.737487,0.875196,0.949734,0.972374,0.8562289999999999,0.9220579999999999,0.9349500000000001,0.8699979999999999,0.833125,0.887276,0.22305799999999998,0.766056,0.768285,0.820252,0.745616,0.731034,0.713598,0.6866869999999999
53,VID_22121027_010927_580_80,0.902064,0.915805,0.9311309999999999,0.883176,0.838793,0.8889589999999999,0.575319,0.46428899999999995,0.881624,0.9316589999999999,0.8902059999999999,0.887197,0.9349649999999999,0.8826109999999999,0.941336,0.8931939999999999,0.8890389999999999,0.477058,0.7077709999999999,0.7402989999999999,0.759909,0.811522,0.6883349999999999,0.680302,0.668882
54,VID_20181214_083254_59,0.854192,0.856124,0.819782,0.679789,0.7951039999999999,0.8519019999999999,0.766115,0.815305,0.83198,0.8107989999999999,0.916843,0.848924,0.833747,0.971738,0.895998,0.40515799999999996,0.853579,0.0,0.8810100000000001,0.7249059999999999,0.7795700000000001,0.882413,0.661739,0.6344839999999999,0.791476
55,VID_20191018_081953_129,0.9000809999999999,0.9432079999999999,0.8536079999999999,0.904033,0.9712600000000001,0.9288029999999999,0.861545,0.878791,0.882577,0.9562400000000001,0.843841,0.87258,0.9107489999999999,0.930681,0.814013,0.880358,0.967904,0.17939000000000002,0.8976900000000001,0.693302,0.746593,0.707863,0.8004129999999999,0.771343,0.774581
56,VID_20191018_081953_130,0.933426,0.902978,0.8971389999999999,0.948282,0.882756,0.900233,0.9000969999999999,0.8784909999999999,0.916557,0.976896,0.938947,0.883671,0.9252500000000001,0.8202229999999999,0.864274,0.8615919999999999,0.9321079999999999,0.105416,0.964262,0.690156,0.7770619999999999,0.7715489999999999,0.7458100000000001,0.793334,0.7610089999999999
57,VID_20191021_220229_65,0.9813459999999999,0.9659719999999999,0.889895,0.502674,0.255894,0.927746,0.806049,0.798412,0.9051659999999999,0.939306,0.904705,0.820256,0.876687,0.8079700000000001,0.825947,0.899565,0.9298379999999999,0.231877,0.857146,0.7130409999999999,0.721552,0.654588,0.551383,0.581059,0.7796529999999999
58,VID_20191021_220229_66,0.9624079999999999,0.9264969999999999,0.8580909999999999,0.7154,0.569591,0.896577,0.794705,0.816081,0.900262,0.941769,0.915971,0.846656,0.895046,0.8493339999999999,0.9006959999999999,0.8869319999999999,0.916026,0.200284,0.803396,0.740556,0.766824,0.789953,0.666034,0.7129249999999999,0.7613179999999999
59,VID_20191021_220229_67,0.961128,0.9013979999999999,0.857383,0.772199,0.667165,0.8944789999999999,0.8335859999999999,0.850571,0.8938619999999999,0.960092,0.944445,0.8252700000000001,0.9153159999999999,0.838815,0.916145,0.8931479999999999,0.905308,0.201754,0.794585,0.776629,0.803439,0.7210559999999999,0.6866709999999999,0.733629,0.747181
60,VID_20191018_081759_56,0.805846,0.826465,0.899922,0.490452,0.0,0.900543,0.801176,0.7728919999999999,0.926341,0.894307,0.860776,0.9456200000000001,0.858467,0.922005,0.880339,0.767829,0.7424000000000001,0.6502169999999999,0.403204,0.795863,0.8413900000000001,0.815915,0.8626729999999999,0.8957579999999999,0.8462600000000001
61,VID_20191018_081759_57,0.874088,0.845456,0.85274,0.422371,0.0,0.899235,0.843866,0.7664559999999999,0.884153,0.8827889999999999,0.8230919999999999,0.982217,0.84428,0.882716,0.9043709999999999,0.852557,0.7815000000000001,0.678093,0.482813,0.799276,0.8210409999999999,0.8178059999999999,0.891131,0.8752019999999999,0.849162
62,VID_20190922_193049_91,0.868879,0.959685,0.9368719999999999,0.8459909999999999,0.875733,0.8909469999999999,0.0,0.0,0.8772900000000001,0.9142939999999999,0.837208,0.8177200000000001,0.839243,0.864088,0.8554100000000001,0.880227,0.922271,0.893635,0.555684,0.7636259999999999,0.780735,0.747131,0.751776,0.7449319999999999,0.677335
63,VID_20190922_193049_92,0.9078879999999999,0.896635,0.896627,0.7959459999999999,0.873764,0.862499,0.186475,0.0,0.8986409999999999,0.855796,0.858873,0.9324049999999999,0.890245,0.777772,0.8880659999999999,0.954425,0.863181,0.29677000000000003,0.903153,0.614771,0.6890400000000001,0.7361449999999999,0.872613,0.8387249999999999,0.7844369999999999
64,VID_20190922_193049_93,0.893183,0.8968849999999999,0.899288,0.7674839999999999,0.728541,0.880087,0.6918139999999999,0.548299,0.822156,0.848521,0.839258,0.8535229999999999,0.8541489999999999,0.80454,0.874477,0.8565039999999999,0.954461,0.0,0.8762300000000001,0.714249,0.763911,0.715407,0.8129719999999999,0.825433,0.840143
